address,brc,brn,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST,skill
Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,IT,INFORMATION TECHNOLOGY,179.35,177.365,173,174.67,170.505,178.615,161.905,,,UI and UX Design
Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,ME,MECHANICAL ENGINEERING,168.22,160.285,,163.855,151.5,163.87,151.92,153.55,,CAD and CAM
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,AD,Artificial Intelligence and Data Science,182.5,180,177.43,176,174.405,177.58,161.135,156.845,,Artificial Intelligence (AI) and Machine Learning
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,AU,AUTOMOBILE ENGINEERING,163.13,157.815,146.165,160.275,,,133.67,,,Auto CAD and Structural Design
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,CE,CIVIL  ENGINEERING,155,142.045,150.5,145.5,137.495,146.78,129.5,,143.845,Auto CAD and Structural Design
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,CS,COMPUTER SCIENCE AND ENGINEERING,185.205,183,180.175,178.23,177.955,181.495,163.9,136.5,167.87,Artificial Intelligence (AI) and Machine Learning
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,179.285,176.5,168.285,174.51,168,172.04,155.505,138.955,,Embedded and IoT
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,174.935,171,168,168.64,165.29,170.635,154.755,,,Embedded and Sensors
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,174.865,170.35,166,169,166.18,,147.495,,,Embedded and Sensors
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,IT,INFORMATION TECHNOLOGY,182.845,182.25,179.08,177.36,175.44,182.39,163,105.5,,Game App Development
Velammal Engineering College (Autonomous)  Ambattur-Redhills Road  Chennai 600066,ME,MECHANICAL ENGINEERING,165.64,158.22,148.12,156.725,138.5,159.635,108.5,142.59,,CAD and CAM
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,AD,Artificial Intelligence and Data Science,179.47,176.5,171.155,173.5,170.395,174.415,161.955,167.705,,Artificial Intelligence (AI) and Machine Learning
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,BT,BIO TECHNOLOGY,178.605,173.265,165.74,174.945,163.295,178,159,135,,Biology
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,CE,CIVIL  ENGINEERING,155.35,139,,144.5,136.21,142.56,126,,,Auto CAD and Structural Design
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,CH,CHEMICAL  ENGINEERING,166.92,158.855,150.095,163,147.56,173.645,138.475,,,Chemistry and Maths
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,CS,COMPUTER SCIENCE AND ENGINEERING,179.97,176.53,174.285,174.1,176.065,176.79,160.11,,,Web Development
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,174.155,170.755,164.405,169.21,164.175,169.99,150.745,124.475,,Embedded and IoT
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,IT,INFORMATION TECHNOLOGY,178.475,176.09,175.425,173.525,167.69,,158.76,161.89,,Mobile App Development
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road  Chennai 600 062,ME,MECHANICAL ENGINEERING,160.57,155.44,,141.11,150.475,156.98,128.55,115,,CAD and CAM
Gojan School of Business and Technology  Alamathi  Chennai 600062,AE,AERONAUTICAL ENGINEERING,155.7,155.11,154.525,138.815,,,136.97,,,Aerodynamics
Gojan School of Business and Technology  Alamathi  Chennai 600062,CS,COMPUTER SCIENCE AND ENGINEERING,154.78,143.5,137.42,153.145,136,,132.955,,,Cybersecurity
Gojan School of Business and Technology  Alamathi  Chennai 600062,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,138.715,110,,83.5,136.985,,,,,Embedded and IoT
Gojan School of Business and Technology  Alamathi  Chennai 600062,IT,INFORMATION TECHNOLOGY,157.845,151,,150.8,,147.65,131.955,,,Research and Maths
SAMS College of Engineering and Technology  Panappakkam  Chennai-Tirupathi Road  Uthukkottai Taluk  Thiruvallur District 601102,ME,MECHANICAL ENGINEERING,100.5,,,,,,,,,CAD and CAM
SAMS College of Engineering and Technology  Panappakkam  Chennai-Tirupathi Road  Uthukkottai Taluk  Thiruvallur District 601102,MR,MARINE ENGINEERING,163.385,145.78,,145,153.955,,137.415,,,Research
PMR Engineering College Adayalampattu  Chennai-600095,AE,AERONAUTICAL ENGINEERING,137.89,,,,,,,,,Aerodynamics
PMR Engineering College Adayalampattu  Chennai-600095,CS,COMPUTER SCIENCE AND ENGINEERING,146.29,135.75,,143.86,,137.5,117,,,Python and Java
PMR Engineering College Adayalampattu  Chennai-600095,ME,MECHANICAL ENGINEERING,129.87,,,,,,,,,CAD and CAM
J N N Institute of Engineering  Ushaa Garden  Kannigaipair Village  Uthukottai Taluk  Thiruvallur District 601102,AD,Artificial Intelligence and Data Science,166.855,150.3,,154.965,150.275,,151.7,,127.805,Artificial Intelligence (AI) and Machine Learning
J N N Institute of Engineering  Ushaa Garden  Kannigaipair Village  Uthukottai Taluk  Thiruvallur District 601102,BM,BIO MEDICAL ENGINEERING,163.2,123.275,,156.9,,,124.99,,,Biology
J N N Institute of Engineering  Ushaa Garden  Kannigaipair Village  Uthukottai Taluk  Thiruvallur District 601102,CS,COMPUTER SCIENCE AND ENGINEERING,163.635,144.145,141.145,139.075,142.67,146.485,147.24,,,Web Development
J N N Institute of Engineering  Ushaa Garden  Kannigaipair Village  Uthukottai Taluk  Thiruvallur District 601102,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,145.56,126.67,,,,141.475,129.53,,,Embedded and IoT
J N N Institute of Engineering  Ushaa Garden  Kannigaipair Village  Uthukottai Taluk  Thiruvallur District 601102,RM,ROBOTICS AND AUTOMATION,146.53,142.24,,143.13,,,141.705,,,Robotics and Sensors
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,AE,AERONAUTICAL ENGINEERING,128.65,,,,,,,,,Aerodynamics
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,BT,BIO TECHNOLOGY,160.5,124.5,153.76,152,142,171.91,135.5,,,Biology
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,CE,CIVIL  ENGINEERING,130.99,,,,,,,,,Auto CAD and Structural Design
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,CH,CHEMICAL  ENGINEERING,146.295,,,,,,,,,Chemistry and Maths
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,CS,COMPUTER SCIENCE AND ENGINEERING,169.07,165.5,164.75,158.835,157.33,,150.955,,,Game App Development
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,154,106,145.33,145.99,,146.135,139.365,,,Embedded and IoT
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,144.7,,,,,,,,,Embedded and IoT
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,IT,INFORMATION TECHNOLOGY,169.03,161.5,166.99,167.735,139.5,,163.02,,,Cybersecurity
St. Peters College of Engineering and Technology  College Road  Avadi  Chennai 600 054,ME,MECHANICAL ENGINEERING,119,,,,,,,,,CAD and CAM
R M K College of Engineering and Technology (Autonomous)  Puduvoyal  Gummidipoondi Taluk  Thiruvallur District 601206,AD,Artificial Intelligence and Data Science,182.43,180.67,178.155,177.12,170.91,182.33,160.945,,,Artificial Intelligence (AI) and Machine Learning
R M K College of Engineering and Technology (Autonomous)  Puduvoyal  Gummidipoondi Taluk  Thiruvallur District 601206,CS,COMPUTER SCIENCE AND ENGINEERING,184.82,182.86,177.33,180.89,175.46,178.15,163.355,152.76,150,Artificial Intelligence (AI) and Machine Learning
R M K College of Engineering and Technology (Autonomous)  Puduvoyal  Gummidipoondi Taluk  Thiruvallur District 601206,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,179.46,177.025,169.955,174,169.5,176.65,156.495,146.935,,Embedded and IoT
R M K College of Engineering and Technology (Autonomous)  Puduvoyal  Gummidipoondi Taluk  Thiruvallur District 601206,ME,MECHANICAL ENGINEERING,174.67,172.505,,167.68,153.965,171.175,140.33,,,CAD and CAM
Annai Veilankannis College of Engineering  Gandhi Road  Nedungundram  Chennai 600048,CS,COMPUTER SCIENCE AND ENGINEERING,149.945,98.275,,128.605,88.5,,129.5,,,Artificial Intelligence (AI) and Machine Learning
Annai Veilankannis College of Engineering  Gandhi Road  Nedungundram  Chennai 600048,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,126.755,,,,,,,,,Embedded and IoT
Annai Veilankannis College of Engineering  Gandhi Road  Nedungundram  Chennai 600048,ME,MECHANICAL ENGINEERING,82,,,,,,,,,CAD and CAM
Annai Mira College of Engineering and Technology  Arcot Road  Arappakkam Village  Walaja Taulk  Ranipet District 632 517,CE,CIVIL  ENGINEERING,154.615,109,139.705,148.815,,,137.85,,,Auto CAD and Structural Design
Annai Mira College of Engineering and Technology  Arcot Road  Arappakkam Village  Walaja Taulk  Ranipet District 632 517,CS,COMPUTER SCIENCE AND ENGINEERING,168.24,155.22,151.1,155.56,138.155,,148.89,137.495,,Web Development
Annai Mira College of Engineering and Technology  Arcot Road  Arappakkam Village  Walaja Taulk  Ranipet District 632 517,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,136.77,,,136,,,128.275,87.5,131.815,Embedded and IoT
Annai Mira College of Engineering and Technology  Arcot Road  Arappakkam Village  Walaja Taulk  Ranipet District 632 517,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,127.33,,,,,,,,,Embedded and IoT
Annai Mira College of Engineering and Technology  Arcot Road  Arappakkam Village  Walaja Taulk  Ranipet District 632 517,ME,MECHANICAL ENGINEERING,133.1,,,,,,,,,CAD and CAM
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,AD,Artificial Intelligence and Data Science,176.5,174.645,169.9,171.29,169.99,171,150.545,161.35,,Artificial Intelligence (AI) and Machine Learning
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,CS,COMPUTER SCIENCE AND ENGINEERING,179.7,178.12,175.5,176.5,167.32,171.405,159.175,166.855,,Game App Development
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,174.22,172.075,167.76,169.095,167.395,,140.5,,,Embedded and IoT
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,IT,INFORMATION TECHNOLOGY,176.78,174.6,170.47,173.145,173.255,174.21,161.22,,,Artificial Intelligence (AI) and Machine Learning
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,ME,MECHANICAL ENGINEERING,157.25,151.5,152,142,137.415,157.13,,,,CAD and CAM
St. Josephs Institute of Technology  Jeppiaar Nagar  Old Mahabalipuram Road (OMR)  Chennai 600119,AD,Artificial Intelligence and Data Science,181.92,180.1,174.76,178.37,177.725,179.64,161.285,,,Artificial Intelligence (AI) and Machine Learning
St. Josephs Institute of Technology  Jeppiaar Nagar  Old Mahabalipuram Road (OMR)  Chennai 600119,CS,COMPUTER SCIENCE AND ENGINEERING,184.935,182.24,176.655,177.715,177.5,181.79,167.5,153.22,,Web Development
St. Josephs Institute of Technology  Jeppiaar Nagar  Old Mahabalipuram Road (OMR)  Chennai 600119,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,178.495,175.195,167.085,172.21,166.755,176.21,155.64,,,Embedded and IoT
St. Josephs Institute of Technology  Jeppiaar Nagar  Old Mahabalipuram Road (OMR)  Chennai 600119,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,173.505,170.5,165,169.245,161.81,171.255,129.035,,,Embedded and IoT
St. Josephs Institute of Technology  Jeppiaar Nagar  Old Mahabalipuram Road (OMR)  Chennai 600119,IT,INFORMATION TECHNOLOGY,182.5,180.92,178,175.89,173.75,178,163.19,,,Python and Java
St. Josephs Institute of Technology  Jeppiaar Nagar  Old Mahabalipuram Road (OMR)  Chennai 600119,ME,MECHANICAL ENGINEERING,164.825,158.77,155.99,151.505,149.09,163.715,109,,,CAD and CAM
D M I College of Engineering  Palanchoor  Nazrethpet  Chennai 602103,CS,COMPUTER SCIENCE AND ENGINEERING,164.525,154.46,151.91,154.56,152.01,146.01,144.705,,,Artificial Intelligence (AI) and Machine Learning
D M I College of Engineering  Palanchoor  Nazrethpet  Chennai 602103,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,160.925,152.5,150.56,143.945,148.56,,143.19,125.615,,Embedded and IoT
D M I College of Engineering  Palanchoor  Nazrethpet  Chennai 602103,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,144.89,126.85,126.705,127.51,135.9,120.705,124.24,,,Embedded and IoT
D M I College of Engineering  Palanchoor  Nazrethpet  Chennai 602103,IT,INFORMATION TECHNOLOGY,165.8,154.68,118.24,155,152.76,161.745,151.42,146.01,,Web Development
D M I College of Engineering  Palanchoor  Nazrethpet  Chennai 602103,ME,MECHANICAL ENGINEERING,139.145,98,,131.975,125.615,,129.67,,,CAD and CAM
